COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2022-05-13,13646268,7180459,116.904,61.513,5936391,50.856,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,6,1408421,12.066
Bonaire,XAA,AMRO,REPORTING,2022-05-13,41250,17523,197.227,83.782,15841,75.74,,,,7886,37.705
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,2021-04-09,7391,5726,28.441,22.034,2965,11.41,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-22,2,,
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,
Botswana,BWA,AFRO,REPORTING,2022-05-08,1920000,1479625,81.646,62.919,1339651,56.967,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-26,6,327708,13.935
Brazil,BRA,AMRO,REPORTING,2022-05-13,425075942,180426303,199.98,84.883,161718688,76.082,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,5,85368624,40.162
British Virgin Islands,VGB,AMRO,REPORTING,2022-05-13,40911,19299,135.301,63.826,17886,59.153,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2021-02-11,2,3726,12.323
Brunei Darussalam,BRN,WPRO,REPORTING,2022-05-06,1124061,432057,256.941,98.761,409091,93.511,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-04-03,5,282887,64.663
Bulgaria,BGR,EURO,REPORTING,2022-05-15,4392243,2089153,63.2,30.053,2059737,29.63,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,749664,10.784
Burkina Faso,BFA,AFRO,REPORTING,2022-05-15,2928989,2432124,14.012,11.635,1539455,7.365,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-06-02,3,,
Burundi,BDI,AFRO,REPORTING,2022-05-15,12651,12651,0.106,0.106,12078,0.102,Beijing CNBG - BBIBP-CorV,2021-10-18,1,,
Cabo Verde,CPV,AFRO,REPORTING,2022-05-15,758359,355089,136.399,63.866,307272,55.266,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,4,36,0.006
Cambodia,KHM,WPRO,REPORTING,2022-05-14,38460180,14932546,230.039,89.315,14192815,84.891,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-10,7,8586491,51.358
Cameroon,CMR,AFRO,REPORTING,2022-05-15,1828882,1552320,6.89,5.848,1209108,4.555,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-04-12,4,52011,0.196
Canada,CAN,AMRO,REPORTING,2022-05-13,82336196,32546530,218.154,86.234,31210342,82.694,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,5,18579324,49.227
Cayman Islands,CYM,AMRO,REPORTING,2022-05-13,143785,60930,218.784,92.712,59031,89.822,Pfizer BioNTech - Comirnaty,2021-01-15,1,23189,35.285
Central African Republic,CAF,AFRO,REPORTING,2022-05-15,1037580,1023144,21.483,21.184,988591,20.469,"Bharat - Covaxin,SII - Covishield",2021-03-19,2,,
Chad,TCD,AFRO,REPORTING,2022-05-15,2347168,2212530,14.289,13.47,2087559,12.709,Beijing CNBG - BBIBP-CorV,2021-06-04,1,,
Chile,CHL,AMRO,REPORTING,2022-05-13,53763358,17928930,281.245,93.789,17481249,91.447,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,5,14151084,74.027
China,CHN,WPRO,REPORTING,2022-05-14,3418724921,1303478569,232.363,88.594,1271465816,86.419,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2020-07-22,8,742730767,50.482
Colombia,COL,AMRO,REPORTING,2022-05-13,83585958,42215008,164.271,82.965,35778117,70.315,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,5,12068192,23.718
Comoros,COM,AFRO,REPORTING,2022-05-15,642320,341302,73.864,39.248,301218,34.639,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-04-10,3,,
Congo,COG,AFRO,REPORTING,2022-05-15,830379,693003,15.048,12.559,544256,9.863,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",2021-03-23,4,,
Cook Islands,COK,WPRO,REPORTING,2022-04-28,39598,15004,225.45,85.425,14678,83.569,Pfizer BioNTech - Comirnaty,2021-05-17,1,9916,56.456
Costa Rica,CRI,AMRO,REPORTING,2022-05-13,10765104,4423865,211.324,86.843,4119873,80.875,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-24,3,2221366,43.606
Côte d’Ivoire,CIV,AFRO,REPORTING,2022-05-08,12387947,7952458,46.963,30.148,5445391,20.643,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5,87290,0.331
Croatia,HRV,EURO,REPORTING,2022-05-15,5249056,2312541,129.3,57.018,2238630,55.164,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,6,894670,22.046
Cuba,CUB,AMRO,REPORTING,2022-05-13,36254180,10661749,320.08,94.13,9954132,87.883,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,7084113,62.544
Curaçao,CUW,AMRO,REPORTING,2022-05-13,251820,107983,153.462,65.806,99088,60.385,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-24,3,44749,27.271
Cyprus,CYP,EURO,REPORTING,2022-05-15,1779620,663544,200.4,74.723,659672,74.287,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,462922,52.131
Czechia,CZE,EURO,REPORTING,2022-05-15,17593444,6954375,164.5,65.031,6865536,64.2,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,4183452,39.12
Democratic Republic of the Congo,COD,AFRO,REPORTING,2022-05-15,1017308,1771324,1.136,1.978,1064851,1.189,SII - Covishield,2021-04-19,1,,
Denmark,DNK,EURO,REPORTING,2022-05-15,13203102,4832023,226.7,82.985,4784431,82.168,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-16,5,3633464,62.401
Djibouti,DJI,EMRO,REPORTING,2022-05-15,185126,164558,18.737,16.656,124502,12.601,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-15,11,,
Dominica,DMA,AMRO,REPORTING,2022-05-13,66509,32627,92.385,45.321,30236,42,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-12,4,3646,5.065
Dominican Republic,DOM,AMRO,REPORTING,2022-05-13,15513442,7211537,143.009,66.479,5969284,55.027,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2021-02-16,3,2332621,21.503
Ecuador,ECU,AMRO,REPORTING,2022-05-13,34725766,15146882,196.824,85.852,13942970,79.028,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4,5998136,33.997
Egypt,EGY,EMRO,REPORTING,2022-05-14,82828973,46619835,80.94,45.556,34733577,33.941,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-24,10,2919795,2.853
El Salvador,SLV,AMRO,REPORTING,2022-05-13,10681219,4581820,164.676,70.639,4287524,66.102,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-17,6,1611104,24.839
Equatorial Guinea,GNQ,AFRO,REPORTING,2022-05-15,480000,265505,34.213,18.924,214486,15.288,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2021-02-12,2,2403,0.171
Estonia,EST,EURO,REPORTING,2022-05-15,2070352,841358,155.8,63.309,836879,62.972,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,456358,34.339
Eswatini,SWZ,AFRO,REPORTING,2022-05-15,535393,387468,46.148,33.398,336066,28.967,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-19,3,,
Ethiopia,ETH,AFRO,REPORTING,2022-05-15,29373478,24769870,25.55,21.546,21291403,18.52,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",2021-03-13,4,346411,0.301
Falkland Islands (Malvinas),FLK,AMRO,OWID,2021-04-14,4407,2632,126.529,75.567,1775,50.962,AstraZeneca - AZD1222,,1,,
Faroe Islands,FRO,EURO,OWID,2022-02-18,103894,41715,212.614,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,21284,43.557
Fiji,FJI,WPRO,REPORTING,2022-05-13,1465780,705527,163.51,78.703,633527,70.671,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",2021-03-07,3,126726,14.137
Finland,FIN,EURO,REPORTING,2022-05-15,11812657,4529733,213.8,81.982,4337063,78.495,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,5,2945861,53.316
France,FRA,EURO,REPORTING,2022-05-15,147595541,54371151,219.2,80.765,52773976,78.392,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-30,6,39817965,59.147
French Guiana,GUF,AMRO,REPORTING,2022-05-13,229149,97953,76.72,32.795,88627,29.673,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-13,2,42010,14.065
French Polynesia,PYF,WPRO,REPORTING,2022-04-29,,186797,,66.498,,,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-01-18,2,,
Gabon,GAB,AFRO,REPORTING,2022-05-15,556657,300871,25.01,13.518,255200,11.466,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2021-03-23,3,2126,0.096
Gambia,GMB,AFRO,REPORTING,2022-05-15,720698,378743,29.822,15.672,338382,14.002,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-03-10,2,3573,0.148
Georgia,GEO,EURO,REPORTING,2022-05-08,2679842,1279920,67.2,32.085,1163973,29.178,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-17,4,235949,5.915
Germany,DEU,EURO,REPORTING,2022-05-15,179411634,64521804,215.7,77.581,64464007,77.512,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",2020-12-23,6,49500821,59.52
Ghana,GHA,AFRO,REPORTING,2022-05-15,14872174,9793160,47.862,31.517,6126483,19.716,"Gamaleya - Gam-Covid-Vac,SII - Covishield",2021-03-02,2,483337,1.555
Gibraltar,GIB,EURO,OWID,2022-04-21,119855,42074,355.748,124.882,41421,122.944,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2,36360,107.922
Greece,GRC,EURO,REPORTING,2022-05-15,21043225,7896163,196.3,73.668,7710256,71.934,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,5771133,53.842
Greenland,GRL,EURO,OWID,2022-03-07,79745,41243,140.465,72.647,38502,67.819,Moderna - mRNA-1273,,1,,
Grenada,GRD,AMRO,REPORTING,2022-05-13,88157,43501,78.346,38.66,38251,33.994,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-15,4,6405,5.692
Guadeloupe,GLP,AMRO,REPORTING,2022-05-13,375596,148550,93.87,37.126,142633,35.647,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-08,6,83307,20.82
Guam,GUM,WPRO,REPORTING,2022-04-21,341561,153728,202.377,91.085,139725,82.788,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-04,3,60163,35.647
Guatemala,GTM,AMRO,REPORTING,2022-05-13,17156565,8173354,95.763,45.622,6164751,34.41,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-25,5,2788570,15.565
Guernsey,GGY,EURO,OWID,2022-05-17,155684,,241.49,,,,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,,
Guinea,GIN,AFRO,REPORTING,2022-05-15,6111743,4477033,46.538,34.09,2510700,19.118,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-05,6,,
Guinea-Bissau,GNB,AFRO,REPORTING,2022-05-08,562620,519455,28.588,26.395,341495,17.352,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2021-04-02,2,20,0.001
Guyana,GUY,AMRO,REPORTING,2022-05-13,904806,475530,115.034,60.458,365799,46.507,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-11,7,63477,8.07
Haiti,HTI,AMRO,REPORTING,2022-05-13,278982,183676,2.447,1.611,128526,1.127,"Janssen - Ad26.COV 2-S,Moderna - Spikevax",,2,,
Honduras,HND,AMRO,REPORTING,2022-05-13,13727535,5970793,138.597,60.283,5354129,54.057,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,6,2402988,24.261
Hungary,HUN,EURO,REPORTING,2022-05-15,16386713,6344842,167.7,64.945,6138412,62.832,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-23,7,3836052,39.265
Iceland,ISL,EURO,REPORTING,2022-05-01,798317,306207,219.2,84.092,296445,81.411,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4,249311,68.467
India,IND,SEARO,REPORTING,2022-05-10,1928974137,1006795142,139.78,72.956,878095971,63.63,"Bharat - Covaxin,Biological E - Corbevax,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,SII - Covovax,Zydus - ZyCov-D",2021-01-16,8,44083024,3.194
Indonesia,IDN,SEARO,REPORTING,2022-05-10,408771891,199668471,149.447,72.999,166317467,60.806,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-13,7,42785953,15.643
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2022-05-08,148519147,64352741,176.823,76.617,57591669,68.567,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Shifa - COVIran Barakat,Sinovac - CoronaVac",2021-02-09,12,26574737,31.639
Iraq,IRQ,EMRO,REPORTING,2022-05-13,18190992,10580198,45.226,26.304,7438208,18.493,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-02,10,172586,0.429
Ireland,IRL,EURO,REPORTING,2022-05-15,10969483,4036010,221,83.688,3993896,80.45,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-30,5,2904506,58.506
Isle of Man,IMN,EURO,OWID,2022-04-05,189681,69532,223.07,81.772,67024,78.822,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,53125,62.476
Israel,ISR,EURO,REPORTING,2022-05-01,15016869,7053747,173.5,81.494,6382223,73.736,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-16,3,1580899,18.265
Italy,ITA,EURO,REPORTING,2022-05-15,136206350,50381196,228.4,84.478,47455689,79.568,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-23,5,39848772,66.814
Jamaica,JAM,AMRO,REPORTING,2022-05-13,1424600,794234,48.109,26.822,691034,23.337,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-10,5,38195,1.29
Japan,JPN,WPRO,REPORTING,2022-05-12,275201140,103347146,217.591,81.713,101730582,80.434,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2021-02-17,4,70123412,55.444
Jersey,JEY,EURO,OWID,2022-05-15,233982,83356,217.06,77.328,80430,74.613,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3,70196,65.119
